horizon,regime,algo,fold,purge,n_train,n_test,n_would_purge,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,STRESS,CatBoost,2,False,1359,45,0,0.2858,0.5111,0.4297,0.3529,0.7568
1,STRESS,CatBoost,2,True,1359,45,0,0.2858,0.5111,0.4297,0.3529,0.7568
1,STRESS,XGBoost,3,False,1615,512,1,0.2708,0.6035,0.5563,0.2581,0.4982
1,STRESS,XGBoost,3,True,1614,512,1,0.2995,0.5898,0.5634,0.3882,0.4679
1,STRESS,LightGBM,3,False,1615,512,1,0.2636,0.5684,0.5248,0.3106,0.4791
1,STRESS,LightGBM,3,True,1614,512,1,0.2961,0.5742,0.5439,0.3735,0.4435
1,STRESS,RandomForest,3,False,1615,512,1,0.2588,0.5957,0.5287,0.1739,0.5103
1,STRESS,RandomForest,3,True,1614,512,1,0.2748,0.5898,0.5377,0.1986,0.5263
1,STRESS,GradientBoosting,3,False,1615,512,1,0.2778,0.5723,0.5372,0.3145,0.471
1,STRESS,GradientBoosting,3,True,1614,512,1,0.2868,0.5664,0.5375,0.3787,0.4549
1,STRESS,CatBoost,3,False,1615,512,1,0.2811,0.6035,0.5588,0.3185,0.4853
1,STRESS,CatBoost,3,True,1614,512,1,0.2775,0.5762,0.5403,0.3879,0.4341
1,STRESS,XGBoost,4,False,1874,83,0,0.2418,0.506,0.4916,0.3846,0.5902
1,STRESS,XGBoost,4,True,1874,83,0,0.2418,0.506,0.4916,0.3846,0.5902
1,STRESS,LightGBM,4,False,1874,83,0,0.2473,0.4819,0.4668,0.3846,0.4746
1,STRESS,LightGBM,4,True,1874,83,0,0.2473,0.4819,0.4668,0.3846,0.4746
1,STRESS,RandomForest,4,False,1874,83,0,0.2557,0.5422,0.5109,0.4444,0.6349
1,STRESS,RandomForest,4,True,1874,83,0,0.2557,0.5422,0.5109,0.4444,0.6349
1,STRESS,GradientBoosting,4,False,1874,83,0,0.2924,0.5663,0.5473,0.4444,0.625
1,STRESS,GradientBoosting,4,True,1874,83,0,0.2924,0.5663,0.5473,0.4444,0.625
1,STRESS,CatBoost,4,False,1874,83,0,0.2615,0.5542,0.5205,0.4444,0.5714
1,STRESS,CatBoost,4,True,1874,83,0,0.2615,0.5542,0.5205,0.4444,0.5714
2,GLOBAL,XGBoost,0,False,2650,794,2,0.3371,0.5844,0.5844,0.3617,0.5707
2,GLOBAL,XGBoost,0,True,2648,794,2,0.3085,0.5516,0.5514,0.3478,0.5522
2,GLOBAL,LightGBM,0,False,2650,794,2,0.3021,0.5479,0.5477,0.3605,0.529
2,GLOBAL,LightGBM,0,True,2648,794,2,0.3082,0.529,0.5289,0.3516,0.5116
2,GLOBAL,RandomForest,0,False,2650,794,2,0.3082,0.5743,0.5731,0.25,0.6023
2,GLOBAL,RandomForest,0,True,2648,794,2,0.2977,0.573,0.5719,0.253,0.6095
2,GLOBAL,GradientBoosting,0,False,2650,794,2,0.3317,0.573,0.573,0.3706,0.5468
2,GLOBAL,GradientBoosting,0,True,2648,794,2,0.3033,0.5529,0.5528,0.3071,0.5431
2,GLOBAL,CatBoost,0,False,2650,794,2,0.3019,0.563,0.5623,0.303,0.5782
2,GLOBAL,CatBoost,0,True,2648,794,2,0.3007,0.5453,0.5428,0.2802,0.5841
2,GLOBAL,XGBoost,1,False,3444,806,2,0.295,0.5546,0.5543,0.4136,0.5839
2,GLOBAL,XGBoost,1,True,3442,806,2,0.288,0.5422,0.5417,0.2887,0.59
2,GLOBAL,LightGBM,1,False,3444,806,2,0.2922,0.5335,0.5333,0.3988,0.5295
2,GLOBAL,LightGBM,1,True,3442,806,2,0.2772,0.531,0.5305,0.3162,0.5714
2,GLOBAL,RandomForest,1,False,3444,806,2,0.3038,0.5633,0.5632,0.3537,0.6113
2,GLOBAL,RandomForest,1,True,3442,806,2,0.2774,0.5459,0.5459,0.2847,0.5868
2,GLOBAL,GradientBoosting,1,False,3444,806,2,0.2904,0.5434,0.5434,0.4123,0.5678
2,GLOBAL,GradientBoosting,1,True,3442,806,2,0.2843,0.5521,0.5511,0.3051,0.5774
2,GLOBAL,CatBoost,1,False,3444,806,2,0.3046,0.5608,0.5607,0.4263,0.6049
2,GLOBAL,CatBoost,1,True,3442,806,2,0.2853,0.5521,0.5521,0.3183,0.5975
2,GLOBAL,XGBoost,2,False,4250,802,2,0.3094,0.5885,0.5867,0.2409,0.6789
2,GLOBAL,XGBoost,2,True,4248,802,2,0.285,0.5524,0.5523,0.2473,0.6296
2,GLOBAL,LightGBM,2,False,4250,802,2,0.288,0.5711,0.5699,0.2561,0.661
2,GLOBAL,LightGBM,2,True,4248,802,2,0.286,0.5623,0.5612,0.2214,0.6368
2,GLOBAL,RandomForest,2,False,4250,802,2,0.2922,0.586,0.5855,0.2082,0.6749
2,GLOBAL,RandomForest,2,True,4248,802,2,0.2677,0.5661,0.5661,0.2022,0.6498
2,GLOBAL,GradientBoosting,2,False,4250,802,2,0.3234,0.5835,0.5814,0.2527,0.6737
2,GLOBAL,GradientBoosting,2,True,4248,802,2,0.2958,0.5449,0.5447,0.2807,0.614
2,GLOBAL,CatBoost,2,False,4250,802,2,0.3164,0.5898,0.5888,0.2482,0.6899
2,GLOBAL,CatBoost,2,True,4248,802,2,0.3069,0.5773,0.5773,0.2766,0.661
2,GLOBAL,XGBoost,3,False,5052,807,2,0.3368,0.57,0.5675,0.4101,0.536
2,GLOBAL,XGBoost,3,True,5050,807,2,0.3305,0.57,0.5692,0.4498,0.5549
2,GLOBAL,LightGBM,3,False,5052,807,2,0.313,0.5489,0.5475,0.4161,0.488
2,GLOBAL,LightGBM,3,True,5050,807,2,0.3304,0.5874,0.5866,0.4913,0.5242
2,GLOBAL,RandomForest,3,False,5052,807,2,0.3081,0.5675,0.5657,0.3882,0.5163
2,GLOBAL,RandomForest,3,True,5050,807,2,0.3048,0.5551,0.5544,0.4013,0.5389
2,GLOBAL,GradientBoosting,3,False,5052,807,2,0.3081,0.5514,0.549,0.4224,0.4957
2,GLOBAL,GradientBoosting,3,True,5050,807,2,0.3038,0.5477,0.5469,0.4583,0.5356
2,GLOBAL,CatBoost,3,False,5052,807,2,0.3103,0.5663,0.5641,0.4112,0.5395
2,GLOBAL,CatBoost,3,True,5050,807,2,0.3177,0.5737,0.5723,0.4559,0.5275
2,GLOBAL,XGBoost,4,False,5859,801,2,0.3009,0.593,0.5856,0.2222,0.6998
2,GLOBAL,XGBoost,4,True,5857,801,2,0.2827,0.5918,0.5861,0.2109,0.6899
2,GLOBAL,LightGBM,4,False,5859,801,2,0.3065,0.5993,0.5913,0.2077,0.6883
2,GLOBAL,LightGBM,4,True,5857,801,2,0.292,0.5955,0.5892,0.2691,0.6354
2,GLOBAL,RandomForest,4,False,5859,801,2,0.2699,0.5693,0.5638,0.1579,0.6942
2,GLOBAL,RandomForest,4,True,5857,801,2,0.2773,0.5793,0.5746,0.1933,0.6998
2,GLOBAL,GradientBoosting,4,False,5859,801,2,0.3111,0.6042,0.5955,0.2137,0.6989
2,GLOBAL,GradientBoosting,4,True,5857,801,2,0.2976,0.598,0.591,0.2612,0.6722
2,GLOBAL,CatBoost,4,False,5859,801,2,0.3091,0.5918,0.5858,0.251,0.7089
2,GLOBAL,CatBoost,4,True,5857,801,2,0.2896,0.583,0.5776,0.2625,0.6858
2,CALM,XGBoost,0,False,866,341,0,0.292,0.5484,0.5484,0.3087,0.4516
2,CALM,XGBoost,0,True,866,341,0,0.292,0.5484,0.5484,0.3087,0.4516
2,CALM,LightGBM,0,False,866,341,0,0.2663,0.5337,0.5337,0.2778,0.3967
2,CALM,LightGBM,0,True,866,341,0,0.2663,0.5337,0.5337,0.2778,0.3967
2,CALM,RandomForest,0,False,866,341,0,0.2864,0.5191,0.5187,0.2256,0.5401
2,CALM,RandomForest,0,True,866,341,0,0.2864,0.5191,0.5187,0.2256,0.5401
2,CALM,GradientBoosting,0,False,866,341,0,0.2625,0.5044,0.5042,0.3087,0.4237
2,CALM,GradientBoosting,0,True,866,341,0,0.2625,0.5044,0.5042,0.3087,0.4237
2,CALM,CatBoost,0,False,866,341,0,0.2608,0.5015,0.5014,0.3099,0.4375
2,CALM,CatBoost,0,True,866,341,0,0.2608,0.5015,0.5014,0.3099,0.4375
2,CALM,XGBoost,1,False,1122,599,2,0.2875,0.5643,0.564,0.3621,0.5232
2,CALM,XGBoost,1,True,1120,599,2,0.2995,0.5626,0.5616,0.3983,0.4301
2,CALM,LightGBM,1,False,1122,599,2,0.2772,0.5209,0.5185,0.3659,0.424
2,CALM,LightGBM,1,True,1120,599,2,0.292,0.5426,0.541,0.3951,0.4291
2,CALM,RandomForest,1,False,1122,599,2,0.2919,0.5659,0.5637,0.3176,0.5956
2,CALM,RandomForest,1,True,1120,599,2,0.3077,0.581,0.5804,0.4113,0.5687
2,CALM,GradientBoosting,1,False,1122,599,2,0.2748,0.5275,0.5264,0.359,0.4746
2,CALM,GradientBoosting,1,True,1120,599,2,0.2865,0.5392,0.5384,0.3967,0.4214
2,CALM,CatBoost,1,False,1122,599,2,0.2794,0.5392,0.5381,0.3077,0.5519
2,CALM,CatBoost,1,True,1120,599,2,0.2956,0.5743,0.5734,0.3539,0.483
2,CALM,XGBoost,2,False,1386,537,2,0.3262,0.5978,0.5978,0.4435,0.5379
2,CALM,XGBoost,2,True,1384,537,2,0.3261,0.5829,0.5809,0.3654,0.5455
2,CALM,LightGBM,2,False,1386,537,2,0.3254,0.6052,0.6051,0.4144,0.5662
2,CALM,LightGBM,2,True,1384,537,2,0.3043,0.5922,0.5912,0.3153,0.5179
2,CALM,RandomForest,2,False,1386,537,2,0.331,0.6034,0.6033,0.3654,0.6115
2,CALM,RandomForest,2,True,1384,537,2,0.312,0.5847,0.5836,0.2727,0.6227
2,CALM,GradientBoosting,2,False,1386,537,2,0.3217,0.5922,0.5921,0.4609,0.5217
2,CALM,GradientBoosting,2,True,1384,537,2,0.3045,0.5791,0.5785,0.3301,0.5263
2,CALM,CatBoost,2,False,1386,537,2,0.3171,0.6238,0.6238,0.3744,0.5857
2,CALM,CatBoost,2,True,1384,537,2,0.3104,0.5922,0.5899,0.3153,0.5857
2,CALM,XGBoost,4,False,1907,287,0,0.2647,0.5157,0.5123,0.2316,0.5357
2,CALM,XGBoost,4,True,1907,287,0,0.2647,0.5157,0.5123,0.2316,0.5357
2,CALM,LightGBM,4,False,1907,287,0,0.2656,0.4878,0.4866,0.2268,0.5536
2,CALM,LightGBM,4,True,1907,287,0,0.2656,0.4878,0.4866,0.2268,0.5536
2,CALM,RandomForest,4,False,1907,287,0,0.2554,0.5157,0.5128,0.2041,0.5763
2,CALM,RandomForest,4,True,1907,287,0,0.2554,0.5157,0.5128,0.2041,0.5763
